DER_mass_MMC DER_mass_transverse_met_lep DER_mass_vis DER_pt_h DER_deltaeta_jet_jet DER_mass_jet_jet DER_prodeta_jet_jet DER_deltar_tau_lep DER_pt_tot DER_sum_pt DER_pt_ratio_lep_tau DER_met_phi_centrality DER_lep_eta_centrality
 101.214   62.888   82.174   70.237    1.741  102.406    1.172    1.871   25.958  199.450    2.864   -1.329    0.439
 102.592   47.208   59.562  164.278    0.329   47.706   -0.027    1.358    1.381  261.094    0.525    1.193    0.000
 159.936   34.181  121.852   39.247    6.436 1261.794  -10.350    2.999    5.482  225.337    1.889   -1.413    0.779
 134.423    6.567  101.104   77.486    0.133   33.778    1.181    1.991    2.151  193.622    0.750    0.669    0.000
 121.786   36.734   91.926  215.750    0.447   62.980    7.550    1.195  116.048  401.070    0.245    0.331    0.000
 116.649  100.003  101.711   35.737    1.515   96.763   -0.549    2.636   21.866  187.907    2.490   -1.412    0.093
  90.499   60.616   63.209   28.975    0.597   76.745   -0.069    2.557    0.579  136.247    1.198   -0.665    0.255
 324.475  108.427  213.487   26.679    2.149  139.351    0.293    3.580    0.542  207.072    1.564   -0.866    0.485
 109.120    2.107   67.898  117.459    5.096  680.455   -2.720    1.805   24.317  215.913    1.783    1.059    0.709
  91.920   13.038   68.276  212.200    0.762  138.059    0.968    0.968   80.927  456.227    0.198    1.412    0.073
 141.710   18.237   97.580  164.289    3.568  283.133   -2.535    1.526   73.476  276.779    0.462    1.378    0.542
 144.979   14.262   85.497   86.996    5.446  908.334   -6.912    2.124   27.320  212.249    0.748    0.610    0.926
 125.185    0.241   73.769  130.717    5.044  746.598   -6.357    1.754    1.133  212.037    0.490    1.058    0.649
 307.661   26.888  155.052  165.389    1.478  155.775   -0.236    3.539   59.299  317.520    2.366    0.509    0.057
  61.575   73.144   38.720  153.450    0.786   83.434    0.830    0.952   48.487  336.188    3.102    0.315    0.000
 126.945   29.151   95.231  110.787    1.382  177.563    0.044    1.659  155.776  495.116    1.085    1.079    0.000
 122.231   85.438   89.969  113.912    0.672  319.502    1.169    2.014   49.826  490.316    3.467    0.443    0.000
  74.922   20.214   48.662   49.420    0.173  175.357    6.118    2.106   12.195  233.699    1.181    1.401    0.000
  97.983   17.938   69.485   44.908    2.009  242.848   -0.811    2.199    2.753  240.055    0.524   -0.782    0.678
  89.156  102.930   73.185   39.666    0.119   75.098    2.243    2.052   36.153  242.336    3.691   -1.331    0.264
 121.749   64.269   96.690  136.998    4.449  696.229   -2.247    1.523   10.285  286.685    0.418    0.012    0.997
  82.518    0.113   54.571   59.977    2.926  253.407   -2.111    1.934    3.602  193.758    1.367    1.004    0.423
 150.206   34.173   92.043   92.244    0.520   50.222    6.681    2.220   29.542  240.730    0.865    1.388    0.000
 116.612   33.955   91.258   88.116    0.404   31.974    0.653    1.907    8.951  171.627    1.713    0.251    0.000
 148.095   62.385  119.463   68.467    1.419   83.258    1.468    2.149   29.289  241.484    0.628   -1.211    0.284
 165.136   29.549  101.526   68.617    1.763  104.873    6.763    3.218    2.262  145.918    1.751    1.410    0.001
  74.164    4.913   45.228  103.613    6.539 2095.348  -10.296    1.382   33.152  227.276    1.265    1.160    0.803
 122.236   21.288   84.078  145.627    3.860  487.278   -3.607    1.406    4.731  273.787    0.768    1.347    0.995
 122.110    9.376   85.741  128.606    5.705 1558.080   -7.372    1.896    2.364  313.672    2.576    0.834    0.990
  99.580    1.930   46.467  132.504    0.166   67.450    2.206    1.539   20.200  224.245    0.996    0.963    0.000
  70.865    4.241   47.575   82.558    0.167   64.099    5.547    1.526   30.848  193.544    1.595    0.819    0.000
  62.643   19.493   42.126   86.749    1.369  139.152   -0.468    1.361   12.979  192.236    1.669    0.885    0.262
 127.233   18.547   77.022   67.186    2.358  379.122   -0.416    2.565   79.573  366.912    1.097    1.332    0.655
  88.016    6.734   58.247  117.160    0.042  133.427    0.395    1.310   34.701  276.461    0.651    1.205    0.000
 105.515   31.244   71.829   14.676    0.367   64.170    0.201    3.083   37.293  144.701    0.814   -1.410    0.048
  80.741    9.444   57.935    7.816    4.168  545.109   -4.283    3.077   32.431  191.059    1.247   -1.414    0.726
 147.937   24.651   95.249  192.523    5.019 1673.505   -5.987    1.421   58.602  496.536    0.408    1.389    0.719
  91.294  105.259   70.927  114.386    2.463  238.602    0.431    1.338   60.838  328.903    2.122    0.178    0.737
  73.048    0.611   49.045  112.451    4.603  549.502   -5.297    1.133    0.353  205.546    0.967    1.016    0.436
 173.031   13.861  131.701  133.790    1.318  109.275    1.490    2.013   43.268  316.376    2.007    0.729    0.531
 134.737   28.571  106.058  115.114    2.318  220.303    0.162    2.000    3.554  312.814    3.319    1.404    0.007
  79.828   36.903   50.919  229.615    1.210  144.733    2.737    0.786   23.455  363.301    2.495    1.007    0.002
 145.225    3.595   91.399  230.068    5.073 1170.275   -6.223    1.134    1.806  437.187    0.827    1.047    0.992
  99.175   10.072   52.295  306.851    1.390  352.005   -0.444    0.739   58.988  592.857    1.396    0.171    0.014
  90.764   51.868   62.919   52.616    3.263  187.648    1.114    2.288    1.002  143.203    0.598    0.048    0.014
 107.341   62.976   49.646  110.896    2.251  228.665   -1.174    1.759   45.026  210.254    1.885    0.906    0.068
 135.226    6.915   93.414   12.937    1.507   87.756    3.070    3.276    8.176  141.116    0.752    1.398    0.977
  69.875   19.033   52.417   93.347    0.645   51.109    7.033    1.338    2.282  216.802    2.279    0.383    0.000
 104.156    6.545   63.579   61.116    1.541   92.457   -0.503    2.514   45.877  176.576    1.453    0.738    0.001
 136.674   30.958   42.974  162.634    2.127  144.682   -0.121    1.774   40.090  187.325    1.855    1.327    0.029
 164.248    6.628   98.006   65.236    0.062   32.035    2.172    2.892   23.149  208.155    1.191    0.120    0.000
 134.289    0.023   82.705   60.168    4.494  732.930   -4.966    2.214   32.655  333.898    0.534    0.999    0.949
 123.528   75.940   81.350  178.141    0.592   85.929    3.482    1.291    3.893  341.858    2.581    1.283    0.000
 103.817   40.504   57.776  198.181    1.233  133.635    3.020    1.039    1.505  307.348    1.124    0.792    0.025
 129.679   12.226   96.852   84.628    0.911  102.600    1.941    1.936    0.134  234.922    1.091    1.293    0.862
 100.475   38.050   73.418   38.266    0.918  252.155    0.235    1.885   65.637  326.592    0.638   -1.104    0.000
 187.587   87.457   80.206  104.668    0.496   54.601    1.995    3.036   32.950  176.157    1.458    1.039    0.874
 126.016    9.929   74.131  139.538    4.768  933.868   -4.975    2.026   44.313  323.021    2.599    1.131    0.995
  19.126  108.349   16.139   46.638    2.504  315.669   -1.163    0.411    1.814  259.459    3.038   -1.348    0.626
 144.797    1.189  105.726  114.244    1.341   81.948    1.106    1.786   33.659  259.933    1.383    0.976    0.000
 111.428   47.265   66.018  152.742    4.706 1093.053   -5.116    1.384   29.687  344.027    1.491    0.902    0.949
 126.760   38.577   93.638   57.111    6.786 1022.103  -10.596    2.532    2.087  162.287    2.220    1.384    0.439
 171.385  150.024   78.388  125.045    1.156  291.560   -0.322    2.578  121.486  325.491    1.256   -0.134    0.000
  83.585   22.513   61.035   36.568    5.109  490.706   -6.497    2.347    1.521  126.555    1.343   -0.464    0.560
 137.596    8.195   85.946  169.832    0.686   70.221    2.939    1.523   46.692  316.580    0.928    0.296    0.000
  84.568   53.075   46.030  153.653    2.494  369.596   -1.546    1.193   67.943  424.262    0.514    1.057    0.489
 171.279   77.710   61.117  118.065    0.536   25.925    1.412    2.312   39.837  183.249    2.302    1.413    0.062
 590.665    4.687  218.347  151.916    3.529  682.035   -2.704    4.662   50.140  388.440    1.167    1.103    0.525
 119.573    0.310   90.670   80.868    3.285  764.376   -2.697    2.647    6.901  410.726    3.906    1.021    0.991
 159.754    1.202  109.031   43.183    2.274  200.474   -0.478    3.104   21.796  205.011    1.341    0.930    0.992
  91.529    5.855   52.465  105.363    4.986  439.223   -4.368    1.468   53.035  151.526    0.769    1.130    0.789
 105.902    0.215   59.539   53.485    6.167  953.873   -8.909    2.634    5.727  152.300    1.054    0.989    0.986
 109.067   13.579   50.407   86.643    1.836  175.785    0.478    2.453  125.048  328.761    0.983    1.279    0.954
 102.738   51.886   81.546   64.378    0.284   92.726    2.964    1.825   52.847  223.907    1.887   -1.221    0.005
 101.837   37.532   71.047   23.854    3.596  221.146   -3.224    3.241   19.323  136.778    0.707   -1.414    0.696
 147.053   24.066   97.735   58.093    5.781 1518.648   -7.929    2.815   37.644  278.543    1.183    1.404    0.820
  95.531   38.315   73.154  107.202    4.283  730.253   -4.109    1.454   46.500  325.109    0.374   -0.003    0.964
  93.827   26.575   68.378   79.405    2.582  292.137   -1.653    1.858    2.418  255.675    2.179    0.083    0.297
 105.477   74.303   70.785   68.481    2.669  400.085   -1.040    2.750   96.013  331.992    2.112    1.411    0.355
 359.384   19.467  276.621   78.571    0.951  121.033    2.486    3.963   57.593  339.077    2.507   -0.187    0.963
  76.564   30.506   39.630  186.022    0.817  122.590    0.699    0.882   24.357  291.976    0.633    0.292    0.066
 124.764    4.889   73.491  195.080    1.284  229.466    0.090    1.155  128.062  547.051    0.246    0.881    0.723
 131.942   22.161   97.766   49.608    0.562   74.278    0.378    2.242    4.367  187.374    1.039   -0.559    0.007
  67.242   70.470   49.116   37.467    0.173   76.888    0.139    1.873   83.080  219.505    1.779   -0.314    0.000
 280.374  123.015  252.131   65.874    1.242   83.804    1.197    3.606   12.660  195.602    3.727   -0.657    0.537
 131.997    4.976   67.647  126.562    1.476   79.095    0.688    1.894   33.379  200.245    1.078    1.092    0.136
 127.333   14.556   83.418  132.418    0.325   71.060    0.398    1.800    1.325  230.794    1.562    0.307    0.000
  85.692   65.568   63.002   43.972    1.146   90.132   -0.113    1.936   43.007  178.408    1.376   -0.275    0.001
  88.291   16.880   52.561   49.693    1.299  131.609   -0.376    2.594    4.012  170.480    1.390   -0.733    0.028
  91.332   47.318   67.151   13.301    2.236  113.765    3.651    2.750   19.900  120.543    1.029   -1.333    0.118
  97.253   47.140   65.235  107.748    6.135  959.451   -9.266    1.750   25.504  180.708    2.103    1.414    0.958
 103.175    4.797   63.950  136.656    0.818   85.457    1.057    1.233    1.735  269.489    0.420    0.877    0.931
 134.777   75.987  104.103   40.070    4.725  405.593   -3.936    2.407   23.936  174.462    1.374   -0.876    1.000
 113.175   10.649   73.571   62.991    3.023  281.821   -1.338    2.870   75.948  265.429    1.958   -0.239    0.554
  98.738   59.375   48.995   65.458    3.767  268.036    2.060    2.138    1.100  138.910    1.672    1.266    0.786
  81.096    5.645   50.574  136.373    4.410  508.935   -2.909    1.129   22.710  235.210    0.391    1.208    0.356
  89.482   32.851   62.268  140.964    0.936  297.880    0.472    1.177   16.409  402.093    0.456    0.816    0.000
 152.652   50.296   92.057  157.113    5.689 2211.630   -7.783    1.646    8.168  376.462    0.842    1.317    0.999
  98.977   74.721   74.858   46.085    2.483  469.584    0.158    2.140   55.310  408.886    2.888   -0.825    0.972
 207.741   89.443  157.522   47.008    2.134  266.615   -1.127    2.903    9.351  426.020    1.657    1.400    0.277
 125.982    5.983   90.687   62.873    0.574   68.476    2.756    2.213    1.032  178.180    0.914    0.747    0.993
 105.836   16.354   60.053  152.696    1.353  323.647    0.106    1.580   31.511  372.656    2.120    0.623    0.002
  73.341   17.134   53.508   49.779    1.995   95.230    2.487    1.951    0.105  136.094    1.707   -0.040    0.994
 100.691   57.763   63.286   63.927    4.291  755.358   -4.590    2.181    1.347  257.579    1.736    1.332    0.355
 130.716   14.724   87.170  238.487    3.303  611.006   -1.897    1.261   45.390  470.950    2.661    1.137    0.480
  79.568   20.991   37.575  112.536    0.655   68.210    3.877    1.612   38.632  161.511    1.519    1.323    0.047
 332.064   85.331  210.467   47.672    1.429  245.066    1.033    3.471   30.710  371.628    1.544    1.412    0.000
 115.298   51.700   87.964   88.569    4.235  406.725   -1.727    2.055   18.871  206.927    2.798    1.264    0.637
  90.484    8.998   37.293  357.286    4.175  968.120   -3.216    0.536   26.489  553.706    0.354    0.480    0.964
 247.713   80.335  197.064   57.282    0.585   69.731    6.072    2.757   46.333  280.201    0.551   -1.414    0.000
  26.019   94.801   22.579   68.608    3.147  412.677   -1.574    0.632   57.981  314.945    2.922   -0.365    0.721
 102.083    0.203   70.785  168.334    0.826   62.259    0.025    1.471   93.302  254.976    3.576    0.997    0.001
 104.891   20.344   45.063  177.802    6.058 1490.438   -8.836    1.501    5.263  264.330    1.758    1.289    1.000
 140.400   76.144  117.689  131.316    2.872  317.790   -1.828    1.919   51.798  351.839    4.121   -0.150    0.027
  84.791   37.288   59.851   31.162    5.062  799.343   -6.407    2.874   27.458  190.704    1.668    1.414    0.748
 114.908    4.156   90.889  108.751    3.501  441.190   -1.408    1.596   22.417  260.920    0.790    0.183    0.956
 104.513   79.142   75.645   27.672    0.408  171.055    0.017    2.960   19.723  285.194    2.648   -1.410    0.000
  85.953    3.733   60.320   20.944    1.658  134.267    0.092    2.850    4.164  151.298    1.372    1.308    0.000
  92.392   50.094   58.509  103.431    1.053  112.669    0.729    1.985    4.833  207.256    2.222    1.413    0.855
 174.822   70.417  126.737  123.345    1.478   87.270    0.143    2.034   21.856  231.884    1.198    0.964    0.443
 132.117   10.609   87.185   79.292    3.524  229.827   -0.155    2.109    0.754  180.815    0.895    1.220    0.609
 109.174   27.052   61.945  157.721    3.888  416.513    1.417    1.431   51.669  219.144    0.408    1.226    0.410
 122.220    5.673   61.781  258.186    0.501  105.068    0.833    1.111   34.321  398.689    1.626    1.140    0.594
 214.481   55.402  178.958   46.388    1.247   83.012   -0.115    3.399    8.659  150.599    0.812   -0.211    0.000
 146.021   68.807   90.055  148.185    0.938  188.048    1.459    1.613   30.110  320.356    0.986    1.257    1.000
  81.474   61.821   42.701   85.200    1.737  122.961    1.607    1.608    9.396  173.885    1.518    1.038    0.954
 127.221    8.364   95.478  135.937    2.679  249.308   -1.669    1.447    0.880  279.919    0.980    0.812    0.854
  90.758   26.176   59.487   48.571    2.570  323.789   -1.142    2.435   42.761  247.493    1.159    1.408    0.769
 182.346   77.876  108.689   22.334    4.466  336.441   -4.744    3.381    4.346  160.912    1.303   -1.414    0.368
 110.378   29.549   66.785  109.475    3.622  636.816   -3.224    1.417    2.587  324.893    0.317    0.229    0.808
  97.990   15.903   54.648   76.745    1.498  130.499    2.961    1.889   38.151  185.559    0.865    0.491    0.000
 145.961   44.674  101.578   81.334    4.038  657.266   -4.068    2.207   13.642  290.269    0.724    1.393    0.985
 139.719   88.852   61.289  134.804    2.526  571.406   -1.366    2.071   53.367  373.693    1.001    0.955    0.932
 121.566    6.560   64.253   90.153    5.189  961.533   -5.096    1.833   20.056  241.873    0.531    0.824    0.201
  77.928   20.785   49.071   82.897    0.744  191.291    3.474    1.770   31.088  295.064    1.507    1.353    0.000
  74.255   37.467   50.764   61.840    1.085  164.990    1.266    1.971   45.504  218.538    1.994    1.350    0.111
  91.403   33.414   62.771  103.560    1.313   92.547    3.010    1.551   57.780  228.848    1.695    1.414    0.000
 110.032   37.236   51.232  182.154    0.931   87.892   -0.205    1.580   11.263  397.688    1.742    0.113    0.995
 117.524   24.409   66.120   76.096    3.252  607.652   -2.508    1.715    4.933  331.837    0.382    0.174    0.998
 145.345   22.993  107.656  137.722    0.188   99.718    6.445    2.662    4.927  305.381    5.606    1.298    0.007
 123.007   47.549   83.641   59.236    0.589   96.817   -0.015    2.603   32.674  241.662    0.626    1.352    0.000
 140.832   32.725   96.949   63.126    3.186  211.412   -0.584    3.189    9.453  169.792    2.228    1.403    0.203
 121.759   48.812   84.642   40.261    1.578  126.902    7.330    2.900   64.342  180.441    0.816    1.409    0.000
 117.817   14.065   70.758  106.292    4.446  803.507   -4.720    1.880    2.590  268.606    1.240    1.222    0.839
  52.907  118.645   46.187  115.364    1.724  132.895   -0.036    0.725   33.331  333.122    3.187   -0.895    0.178
  81.495    1.650   38.005  199.925    2.354  482.596   -0.863    1.136    1.341  388.789    2.320    0.976    0.146
 163.702   65.912  123.157  114.136    2.041  205.730   -0.892    2.256    6.927  248.037    1.269    0.026    0.921
 107.829   10.382   71.746  135.930    0.921   87.683    3.419    1.651   31.463  236.160    2.527    1.176    0.000
 127.844   51.011   64.053   88.911    4.891  520.904   -4.937    2.071   44.776  163.392    1.158    1.400    0.932
 309.130   86.911  116.306   73.039    1.086   63.730   -0.288    3.334    8.638  187.948    2.063    1.414    0.564
 106.009    6.317   73.873   16.583    4.017  302.147   -3.966    2.868    7.541  146.736    0.872   -0.527    0.546
 137.982   36.133   90.796   65.453    5.122  624.795   -6.528    3.034   59.473  189.857    1.502   -1.410    0.645
 217.118  113.191  165.108   87.205    0.119  109.859   -0.003    2.460   35.579  297.334    0.758   -0.223    0.000
 128.051    4.210   86.203   34.069    2.352  149.367   -1.357    2.605    2.798  173.833    0.723    1.211    0.355
 131.316   16.309   94.326  184.194    3.221  372.412   -1.958    1.669   17.256  320.502    3.526    0.801    0.989
  57.553   51.972   44.329   48.200    0.041  152.367    1.032    1.391    1.617  218.646    1.276   -0.326    0.000
 134.879   13.640   70.015  348.579    4.501 1535.778   -4.359    0.790   18.232  534.822    0.873    0.800    0.987
 125.765   33.916   94.303   39.177    1.865  115.174    3.384    2.257   26.165  185.361    0.649   -1.401    0.230
  70.483  111.091   62.164  271.002    2.520  426.617    2.700    0.424   87.658  738.386    0.884   -0.168    0.540
 128.415    2.476   72.002   81.159    0.777  123.975    0.437    2.870    6.995  204.102    1.539    0.834    0.702
  70.636   26.252   48.826   91.559    2.901  225.938   -1.739    1.518   42.425  173.975    2.420    1.335    0.352
 108.102   55.969   68.857   19.041    0.019   97.675    0.001    2.915   37.478  168.325    1.557    1.378    0.000
 134.539   47.525   91.914   81.117    6.064 1410.483   -8.835    2.422   16.079  279.997    0.483    0.950    0.415
  84.927   17.684   58.026   28.034    1.587  129.077   -0.371    2.225   50.582  202.600    0.801   -0.771    0.714
 106.195   20.559   62.620   99.971    7.631 2417.962  -14.531    2.024    4.193  161.544    1.289    1.242    0.703
 118.856    6.240   71.336   28.602    1.966  219.333   -0.613    3.193   32.258  243.500    1.032   -0.986    0.994
 212.587   74.494  164.145   67.618    0.516  153.948    1.814    3.646   54.833  349.575    3.846    1.411    0.000
 100.906   11.266   62.481  128.228    2.871  296.954   -1.591    1.460   41.517  258.597    0.459    1.383    0.267
  34.964   10.365   22.768  135.246    2.950  300.269   -0.251    0.501   25.449  255.457    0.411    0.486    0.481
 177.221   51.800  139.741   89.520    2.767  454.375   -1.683    2.305   17.203  397.660    1.138   -0.215    0.151
 152.881   20.563   99.990   26.915    4.927  488.980   -5.774    3.376    0.950  148.413    1.005   -1.300    0.449
  73.072   42.038   52.029   22.201    3.409  244.899   -0.891    2.346    2.851  143.062    1.091   -1.370    0.989
  96.449   30.792   72.911  138.751    1.656  185.095   -0.679    1.175   28.431  307.696    1.312    1.366    0.444
 122.800   82.555   98.544   96.259    1.187  118.056    0.387    1.571    7.649  267.528    1.359   -0.237    0.923
 117.202   61.775   75.733   61.440    1.801  199.146   -0.399    2.432   70.903  328.976    0.835    1.265    0.007
 113.983    1.067   84.386   74.299    3.998  281.378   -3.962    1.849    1.375  187.105    0.602    1.051    0.873
 281.413   55.604  208.199   66.374    0.803  194.929   -0.095    3.881   26.220  332.532    0.613   -0.172    0.000
 232.577   57.647  175.273   65.181    0.803   54.403    0.633    3.494   40.703  230.307    2.640    0.629    0.000
 101.160    5.295   63.986   52.609    3.805  544.730    0.297    2.500    6.243  210.073    1.271    1.189    0.279
 117.212    0.924   68.250   86.038    3.731  537.083   -3.417    2.666   45.150  273.922    2.140    1.029    0.303
 134.933    3.093   88.880   32.849    5.875  994.443   -7.688    2.636    0.992  198.026    0.745    1.158    0.787
 101.126   31.808   69.502   23.250    2.517  121.862    5.684    2.871   28.368  166.498    1.534    1.412    0.534
 119.424   12.296   78.131  220.221    4.521 1810.544   -4.626    1.171    3.104  541.408    2.211    0.046    0.998
 131.345    3.195  107.309  146.793    3.178  312.129   -2.309    1.348   23.586  303.209    0.692    1.158    0.197
 118.835   29.776   86.985   31.612    3.055  194.616   -2.322    2.436   32.015  160.188    0.522   -1.184    0.185
 197.795   73.187  155.072   79.551    3.141  354.226   -2.434    3.613   43.786  270.641    4.637   -1.414    0.117
 117.160   22.221   67.229   56.674    6.349  991.217   -9.830    2.528   49.230  153.663    0.644    1.385    0.950
 141.672   17.655   98.551   44.772    0.388   97.720    1.931    3.165    1.891  156.882    1.108    1.410    0.518
 100.021   42.096   81.456  199.207    2.496  246.219   -0.931    0.852   71.223  402.689    0.501    0.238    0.906
 105.948   10.211   61.787  210.182    0.432   86.208    1.824    0.959    0.691  363.124    0.437    1.245    0.000
  96.904   49.172   67.200  198.028    1.368  187.092   -0.209    0.951   95.933  445.397    1.871    1.317    0.000
 123.228   65.057   55.719  107.296    5.454  786.000   -7.112    1.823    2.122  185.946    1.748    1.349    0.783
 122.043   36.033   79.903   49.128    1.000  101.385    4.376    2.596    2.501  180.169    1.002    1.413    0.318
 131.796   34.415  104.639  265.821    0.998  113.412    0.229    0.930   42.784  502.397    1.755    0.953    0.000
 115.135   67.790   63.223   79.485    0.037   37.829   13.767    2.369   31.708  185.807    0.634    1.134    0.000
 222.202   18.433  182.450   98.226    0.757   71.364    0.370    2.839    3.424  238.510    2.803   -0.770    0.000
 117.339   76.961   84.265  107.160    1.230   77.786    1.462    2.446   43.258  272.128    4.541    1.414    0.952
  64.955  106.005   59.158   57.481    0.096   97.843    0.102    1.553   59.486  213.858    1.568   -0.452    0.028
 189.109  106.322  104.295   51.174    0.157   77.400    6.337    2.685   48.745  202.448    2.542    1.328    0.000
  96.597   23.715   70.712   66.806    1.485  117.291    2.012    1.864   48.981  292.255    1.289    0.084    0.000
 206.237   49.708  158.366  155.834    1.793  214.936    4.736    2.582   24.127  359.024    5.279    1.245    0.154
 114.997    0.655   69.151  156.830    3.054  382.064   -2.083    1.414   16.703  288.616    0.519    1.050    0.952
 112.561   34.563   87.192   46.397    0.137   83.952    3.671    2.238   26.319  174.296    1.594   -1.403    0.000
 132.086    3.265   95.954   45.366    4.572  473.824   -4.718    2.692    0.637  173.129    0.620    1.277    0.930
 116.152    2.311   85.106  216.470    3.098  525.888   -1.589    1.082    6.547  399.579    2.183    1.053    0.785
 123.738   16.263   69.391   89.356    4.126  339.360   -4.198    2.881    0.902  161.774    1.662   -1.020    0.997
  96.418    7.076   47.804  234.157    2.792  434.932   -1.848    0.949   24.659  441.641    1.643    1.213    0.447
 147.199   54.094   78.812  260.277    0.264   83.027   -0.014    1.108    1.704  431.040    0.439    1.363    0.000
 220.828   70.096  102.931  143.169    3.333  491.273   -2.101    2.768   58.487  314.709    0.916    0.408    0.975
  73.052    4.034   53.724   81.338    6.339 1400.814   -9.144    1.367   48.533  254.618    1.554    1.147    0.989
  90.614   56.213   57.120   45.787    0.989  106.813   -0.178    2.504   44.804  211.739    1.189    0.595    0.569
  82.364   49.237   59.428   63.426    0.425   88.193    0.428    1.945   31.782  166.634    1.159    0.040    0.000
 143.622   28.938  103.958   51.154    1.589  118.547   -0.270    2.479   33.888  234.270    0.595    0.795    0.237
 225.772   65.601  175.618   64.109    0.640   98.403    0.648    3.040    4.202  237.284    2.459   -0.776    0.000
 129.922   50.305   91.681   30.760    5.833  670.271   -7.141    3.360   20.476  140.014    0.701   -1.410    0.974
  81.433   50.047   28.656  266.653    2.459  568.762   -1.500    0.666   91.799  617.441    1.592    1.264    0.918
 110.591   50.222   61.165   79.850    4.614  540.399   -4.981    2.265   24.091  159.759    1.294    0.969    0.563
 347.069   30.783  152.092  137.394    1.659  177.094    2.675    3.571    0.335  231.757    0.908    0.230    0.179
 117.813    6.563   68.634  135.744    3.204  471.145   -2.273    1.446    5.962  304.135    0.651    1.128    0.884
  97.047   12.315   57.855  118.903    4.045  433.246   -3.499    1.419    2.717  210.335    0.700    1.259    0.765
 110.725   44.886   77.743   37.401    3.913  405.948   -2.726    2.667    4.234  195.282    1.769    1.400    0.820
  95.151   23.399   63.913  100.486    0.199  126.227   -0.008    1.726   28.125  243.740    1.332    0.809    0.000
 117.701   24.161   72.808   89.390    3.941  385.009   -3.722    2.390    2.362  194.934    1.915   -0.006    0.818
  78.752    9.762   59.291   65.324    2.139  123.331    0.264    1.726   24.616  162.664    1.707    1.389    0.093
  83.348   66.831   65.149   37.338    0.531  108.155    0.633    1.674   44.508  232.209    0.680   -1.344    0.000
  73.436   52.301   52.556   21.122    0.818  161.689   -0.140    2.831    5.032  203.432    1.421   -1.413    0.201
 123.117   21.864   75.979   63.330    2.539  135.696    1.939    2.986    4.149  141.758    1.652   -1.027    0.701
 146.105   55.432  102.996   28.790    5.044  687.059   -6.257    2.948    4.645  209.058    0.954    1.355    0.880
